author,comment,sentiment,positive_score,negative_score,sentiment_score,channel,title
Yokoerlangga273,Saya kena mobil ama motor tarikan berat dan brebet,negatif,0,1,-1,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
Phedhel1,Mentrinya bahlul,netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
wirdimusowwir5297,Ganti rugi ke warganya masa ga ada?,negatif,0,1,-1,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
suparlanhadi9345,Belum kapok juga Pertamina😢🔥,negatif,0,1,-1,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
muhamadiqbal3347,"Di jabar juga udh banyak yg jadi korban ,",netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
gunguntventura6664,Pertamina sangat tidak profesional sudah puluhan tahun beroperasi masih saja membuat susah rakyat,netral,1,1,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
indraKusuma445,Jgn pilih Golkar selama ada bahlil,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
garudapancasila5236,Yang memeriksa bbm dari pertamina sendiri...😂,netral,0,0,0,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
ekoasyari1468,Bahlil lagi bikin ulah,netral,0,0,0,Health Tips with Uloma,"apakah nama ibumu di sini, cek #roblox #trending #lucu"
ardianhilman4016,Luar biasa pejabat konoha,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
muhammadbasori7392,Matursuwun bahlul kamu orang terhebat di dunia,positif,1,0,1,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
SyamsulArifien-m2h,Sama punyaku juga malah ijeksi kena,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
hendrachairuna5695,Bahlil yang tanggung jawab kita tunggu saja tanggal mainnya,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
agusrahmantoagusr4086,Pertamina banyak bohongnya.sampe kapanpun nga akan pernah jadi kelas dunia.,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
Mochammadnaila,Bahlil otaknya bisa fungsi GK BRP octacore cpu hbyrid long peak...,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
alvinaprianto5721,"Enak ya jadi org org di pemerintahan cukup kata MAAF sudah membuat rakyat senang 😅,TPI giliran rakyat telat pajak telat bayar listrik telat bayar PDAM dll rakyat tak boleh minta maaf ttp di paksa harus bayar atau di cabut😊",positif,1,0,1,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
darmaputra6747,"sekalian jangan tanggung tanggung campur , campuran air kencing , bila perlu beli air kencing agar masyarakat bisa buka lapangan kerja !",netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
iswatimade,MBahlul mondor saja biar rakyat tidak sengsara.,netral,0,0,0,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
abiejaya8630,"Kayake semua jajaran di pertamina harus di ganti deh,dan di usut,jika ada konspirasi korupsi  ,hukum mati atau memiskinkan mereka!",negatif,0,1,-1,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
AyamInpot,BBM langka sekarang Pertamax jadi panjang antri,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
HelenaLumbanraja-j4g,Hukum itu manusia yg tidak jujur,positif,1,0,1,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
tommy-s6v4z,kerjaannya kadrun bahlil ketua dewan masjid dunia,netral,0,0,0,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
chabibchabib2627,"Pertamina aja menyatakan tiap tahun rugi, terus kalo harus ganti2 pakai apa. Apa gk makin tombok tekor",negatif,0,1,-1,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
suryajaya4448,namanxa aj bahlul,netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
mbaklilis2556,"Kemarin rekening di bekukan sekarang bensin di oplos,,😭😭😭",netral,0,0,0,KOMPASTV,"Kasus Pertalite Diduga Bercampur Air, Pertamina Buka Posko Aduan untuk Masyarakat"
WayanMerta-y6b,"Memang benar air dan minyak GK mungkin bisabersatu,",positif,1,0,1,Rustanto Autoinfo,"Percobaan Ke-3, PERTAMAX dan PERTALITE apakah mengandung ETANOL?"
kshshs-r1l,Sebodoh itu kah org industrial? Jenisnta beda dan bbm juga pas tingkat penyulingan tertentu bukan di level akhir,netral,0,0,0,Bang Alie,bbm oplosan ethanol #info #mekanik #OTOMOTIF
NurCoiron,klau para pejabat salah GK ada masalah cobak klau rakyat kecil lnsung penjara...,negatif,0,2,-2,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
suparjiparji9034,Aduh pusing kalau pertamina sdh banyak orang serakahnya hapus aja pertamina Ganti nama laen kek.orangnya juga ganti bos...rakyat aja yg jadi korban yg jualan tanggung jawabnya mana...😊,negatif,0,1,-1,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
SyamsulArifien-m2h,Sama punyaku juga malah ijeksi kena,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
deltha0199,BahLuL suruh tanggung jawab,netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
arifwahyubasuki3329,Jenis etanol yang di pakai beda je is dengan jenis bioetanol,netral,0,0,0,Trend With Tee,🧠 Can You Crack the Secret Behind These Numbers?
yancemardiyance6570,Terus gunanya wakil rakyat kita apa ya,netral,0,0,0,Rustanto Autoinfo,"Percobaan Ke-3, PERTAMAX dan PERTALITE apakah mengandung ETANOL?"
tomotbae4404,"Kalo saat Bahlul sidak .
Langsung Bersih dan murni semua ya 
.
Ini Sidak Reel tanpa Di seting",positif,1,0,1,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
dwifebrianto-wm2td,Jual bensin campur air kok masih ngomong RUGI 😂😂😂,negatif,0,1,-1,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
bagussurya276,Ampun wo.. Hancur Indonesia gegara 1 mahkluk.,negatif,0,1,-1,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
bargowoh3741,"Bukan baru² saja saya mengalami  hal serupa ... Gejala awal motor sulit dihidupkan disaat mesin masih dingin ... buka busi  , busi basah dan berwarna hitam , tarikan motor berat dan ini berulang-ulang kejadian seperti . Akhirnya ganti ke BBM Pertamax ..alhasil tidak ada gejala macet ..artinya mesin enak",negatif,0,2,-2,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
abahpurwadi3831,"Tidak hanya pertalike saja, saya baru isi pertamax tubo dipom bensin mesin brebet",netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
sunaraprijatnoapri6945,Di Luwuk Banggai sulteng juga banyak mobil & motor mogok.,netral,0,0,0,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
muhammadbasori7392,Matursuwun bahlul kamu orang terhebat di dunia,positif,1,0,1,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
safuck,Di Madura juga,netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
ChipungKecemplung,HALAH TIAP KALI W BELI PERTAMINA GAK PERNAH DAPAT STRUK PEMBELIAN.. KECUALI LO Beli DI SPBU swasta.. Iya itu dapat.. BUMN BUSUK MENTERINYA JUGA BUSUK..,negatif,0,2,-2,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
tonivivo-si1vh,"AWAS sabotase BBM, cepat di atasi secepatnya, tingkatkan pengawasan pihak TNI dan Polri,
SPBU yg Nakal",netral,0,0,0,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
lisyawali9782,Mana tau beli pake struk,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
ayeshafamily9550,"Boikot Pertamina ....
Sy Minggu lalu kehabisan akhirnya isi pertamak ga lama motor mogok²an mati sendiri,ga sy kuras sih tapi sy isi lagi ke langganan pom swasta (warna biru) lancar lagi ga mati2an",netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
lambelamis4118,"Injeksi wkwkwk ,kalau karbu masih aman"" aja ni😂",netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
MoaKikuchi-w9u2n,pertalite kah,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
afirmpositif,Belum ada berita di ganti sebab uang nya masuk kantong koruptor 😅😅😅😅,negatif,0,1,-1,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
killaz_21,"bukan bercampur air tapi pertamina ETANOLNYA kebanyakan 10%, jelas jelas dibuku panduan motor tidak boleh dari 10% kandungan etanol karena dapat merusak mesin 😂",positif,2,1,1,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
manihardimanihardi2417,"Masyarakat tidak butuh permintaan maaf, gak ada gunanya motor ku sudah mogok, kurang ajar pemerintah senang' sekali nyusahin masyarakat",netral,1,1,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
HerdianaHeri-o2d,😂😂😂😂😂. Yang oplos BBM itu di sebut perusak bangsa.,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
darojatariyanto5264,Gambaran buruk pertamina ngga ada habisnya,negatif,0,1,-1,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
aofw,"Mereka yg jual, mereka juga yg investigasi... Sial",netral,0,0,0,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
lambelamis4118,"Injeksi wkwkwk ,kalau karbu masih aman"" aja ni😂",netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
UntomoSuwadi,Motor 1 service rata rata250an ribu....pertamina cuma minta maaf,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
abualtan6416,Ganti menteri Bahlul!,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
Nardy-r1y,Lucu kayak negara baru merdeka ribetnya negriku,positif,1,0,1,KOMPASTV,"Kasus Pertalite Diduga Bercampur Air, Pertamina Buka Posko Aduan untuk Masyarakat"
DafiBaru-i8m,SAYA SALAH SATU KORBANNYA,negatif,0,1,-1,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
UsmanUmar-r6q9w,"Harga keekonomian 6500 kt pk menkeu ,di spbu 10 rb ,bermasslah pula aduh...",netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
Original_field,Beegerak  cepat supaya tak terbukti 😂,netral,0,0,0,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
najibboto,"Kalo ngecek itu jgn pas ada masalah, tapi rutin ngeceknya, mana ada mau nangkep maling tp bilang ke malingnya klo mau di tangkap, kan lari njir",negatif,0,2,-2,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
BebekGoreng88,"pertamaIing memang luar biasa.
memanfaatkan fasilitas monopoli, memaksa swasta tutup dan memaksa masyarakat membeli produk Iarakan mereka.",netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
erlanhambali2707,mereka ini sudah banyak malingnya merugikan orang banyak juga,netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
WitWithaya-o5q,"Kalau sehari satu bengkel 50 motor, artinya memang sudah keterlaluan ini.",netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
AbahKambar-s2s,"Kalau jd mentri dn  dpr  orng  titipan.   Yg  jenius  dibuang  ke luar  negeri,   jadilah mereka makin bahlil",positif,1,0,1,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
gungde9663,Apakabar Shell dimatiin operasinya,netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
helmisyaffar9648,Sama bos punya saya mugojlugak,netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
triindahsusilowati6579,Salam brebet dari Tulangan Sidoarjo dengan gampange Pertamina oleh mutusi mintak maaf .  merugikan masyarakat,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
PANGLIMA-t5y,"Itu ulahnya sopir tangki bbm pak , jangan salahkan pertamina , yg ngisi air itu sopir tangkinya , sy sering lihat diperjalanan sopir tangki berhenti lama skali , la disitu banyak drum , la disitu sopir mencuri bbm lalu diganti dgn air , tangkap semua sopir tangki bbm lalu ditanyai satu persatu nanti kan ngaku , pelakunya jelas sopir tangki minyak bbm bukan pertamina",negatif,1,2,-1,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
hariyansahmusa9026,Saya juga ngalamin brebet pasca isi pertalite pagi pagi di pom bensin  disebuah SPBU didaerah Depok😢,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
wise_man9305,"Udah jual oplosan, ga ada saingan eh masih aja ngaku rugi.... Kan t*lol 😅",negatif,0,1,-1,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
inovasitv5646,"tangkap pelakunya, kalau tidak ada yg ditangkap, nanti pasti ada kasus begini lagi",negatif,0,1,-1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
eddysuyitno5537,Waduh semakin parah ya ni pemerintahnya maunya gimana sih😊,netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
Zippy_zip-d9d,"Bahlul masih cuek terus dengan tameng Nasionalis dan kedaulatan, lebih gila dibandingkan dengan US, Coba introspeksi apakah kwalitas BBM sama??!! Otak dipake oiii, Menteri ABS akan susah diganti apalagi ketua partai, makanya seenak udelnya aja...",negatif,0,2,-2,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
agus999oke,Saya dr kalimantan' 10 hari  belakanga in motor sya juga sering bongkar bersihin  busi' pagi tiba2  susah hidup sampai mogok total.,negatif,0,1,-1,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
didiksoepriadi1236,INDONESIA ......negara kita kaya tapi mengapa KAMU tega  sengsarakan RAKYATMU .....apakah ini yg dinamakan MERDEKA ......PERTAMINA BANYAK KASUS ....ganti saja dengan sepeda BATRE....atau kita kembali ke jaman di mana kita pakai SEPEDA ONTHEL,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
herlyshabara5290,Sarang penyamun,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
khazaanto9258,Percuma klu dr bawah sampe atas penjahat pertamina gk di pctin smua.. gk akn brubh bosen .. gk akn maju,positif,1,0,1,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
SolehMuhammad-v1z,Kebijakan bahlul.. SPBU swasta yg jujur malah di singkirkan...,positif,1,0,1,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
rizalalfatih5134,Gak isi bensin disana lagi dah,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
kusmadichenkchannel4758,"Kok enak cuma minta ma'af, kompensasi nya apa.?",netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
Rayyanprojectss,Kasus kasus,netral,0,0,0,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
Tukangmancing-l6p,Pidana kan yg bersalah bukan  maaf,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
mashakids-v3k,"Kalo Pertamax warna biru aman gak kak, yang tau jawab dong.",netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
shakilasyibilsubangga1703,Gblk,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
MuhammadYasin-s4k,Oknum2 yg katanya ahli diperminyakan pertamina harus dipenjarakan . Dulu pakai premium katanya nggk bagus gamti pertalit tau2nya pertamina membohongi rakyat indonesia. Pantasan otomotif di indonesia baru dari toko digunakan nggk sampai 1 thn sdh berasap. Biadab betul..lebih kejam dari  Komunis...cocoknya di pancong pegawai  petamina yg curang.,netral,2,2,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
ronatani8127,PERTAMODAR,netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
BodongDuakali,Cukup minta maaf juga BERES.......,netral,0,0,0,Health Tips with Uloma,"apakah nama ibumu di sini, cek #roblox #trending #lucu"
Uiii514,Beli motor gak murah... ongkos perbaikan juga gak murah...gara gara pertalite oplosan motor cepat rusak,negatif,0,1,-1,Rustanto Autoinfo,"Percobaan Ke-3, PERTAMAX dan PERTALITE apakah mengandung ETANOL?"
JalilRakasiwi,Tambah ruwet.ruwet.ruwet.,negatif,0,1,-1,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
ansyewidjaya9257,"Percuma cangkem w rakyat ngoceh sampe berbusa , gk mgkn didengarkan , krn negara ini sdh parah , mirisss",netral,0,0,0,Tribunnews,"Motor Brebet Karena BBM Bercampur di Surabaya, Cak Ji Desak Pertamina Ganti Rugi"
Sunarmi-v3i,"Harusnya presiden bertindak , bereskan masalah ini",netral,0,0,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
asepbimbo3134,Duh air sampai setengahnya?🤔,netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
Sinchan-m5l,Minta maaf doang xianjing ini. Tnagkap dalang pengoplos bbm itu. Kami tau sekarang alasan shell g mau beli bbm oplosan kalian😂😂😂😂😂,netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
muhamadiqbal3347,"Di jabar juga udh banyak yg jadi korban ,",netral,0,0,0,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
abahpurwadi3831,"Tidak hanya pertalike saja, saya baru isi pertamax tubo dipom bensin mesin brebet",netral,0,0,0,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
metalhead1796,PERTAMINA emang BUSUUUKKKKKKKKKKK,netral,0,0,0,KOMPASTV,"Kendaraan Mogok Usai Isi BBM Diduga Bercampur Air, SPBU Akan Tanggung Biaya Perbaikan"
dirtayasa6017,"Gak akan d ganti, pas komplain ngurusnya ribet, pertamina memang anjing",negatif,0,2,-2,Weezy Official,BENSIN VIRAL BIKIN MESIN BREBET!
Supriyono-u8s,Ok lah enk ja cuma minta maaf kita maaf kn. Tapi jg harus diproses hukum kan . Kalo g mau dihukum y ganti rugi lah..,netral,1,1,0,CNN Indonesia,"Motor Mogok Massal Usai Isi Pertalite, Pertamina Minta Maaf"
fathan404,"Bahlil Bahlil, tadi anak Sy kuliah d  Jember  spd motorx brebet padahal motor baru Honda Stylo ini gmn.P Presiden pecat aja si Bahlil.",netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
ariwardoyo5048,Sejak ada pertalite campur etanol aku GK beli ..,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
FernandoEdo-w4c,"Negara "" koruptor 
Semua barang di korupsi",negatif,0,2,-2,Harian Kompas,Motor di Jawa Timur Mogok Massal Usai Isi Pertalite
Gusti_Gede,Aku mobil karbu. Ngalamin juga,netral,0,0,0,Fokus Indosiar,"Warga Tuban Keluhkan Pertalite Bikin Motor Mogok, Polisi Lakukan Sidak SPBU | Fokus"
ridwandani4094,"Kerja gak becus,  sarang korupsi, gaji gede dan kalau bikin kesalahan cuma minta maaf",negatif,0,1,-1,tvOneNews ,"Viral Motor Mogok Gegara Pertalite, Pihak Pertamina Minta Maaf | tvOne"
sumantosumanto4506,Pertamina ancur sejak dulu KLW ladang koruptor diisi pejabat termul sampah semua . Jadi makin ancur rakyat makanya sampah tetap sampah,negatif,0,4,-4,Kompas.com,"Kendaraan Mogok Usai Diisi Pertalite, Pertamina Lakukan Investigasi"
